subject_id,Country,State/Province,County,Location,Minimum Elevation,Maximum Elevation,Main Dropdown,Latitude ⁰,Latitude ',Latitude '',Longitude ⁰,Longitude ',Longitude '',"Primary Collector (*Last*, *First* *Middle*)",Other Collectors (as written),Collector Number  (numeric only),Collector Number (verbatim),Month #1,Day #1,Year #1,Month #2,Day #2,Year #2,subject_image_name,subject_nybg_bar_code,subject_resolved_name,subject_qr_code
16193409,Mexico,Oaxaca,Tehuantepec,"Municipio: Santiago Astata. la Agüita, 5 km al SE de barra de la Cruz. Vegetacion secundaria.",15,,meters,15,50,3 N,- 95,56,20 W,"Elorsa C., Misael",,3964,,11 - November,28,2000,,,,R0000299.JPG,NYBG 3196563,Caesalpinia coccinea,50221b02-71f9-4bbd-9bcd-919d21817478
16193410,Mexico,Jalisco,La Huerta,"Mpio. de La Huerta, Rancho Cuixmala, Ruta 8 entrada del camino a Cumbres 1. Aprox. a 2 km después de la entrada.",90,,meters,19,22 N,104,104,59 W,,"Rico, L.",Saul Vázquez Contreras,1027,,2 - February,9,1992,,,,R0000298.JPG,NYBG 3196562,Caesalpinia caladenia,5049c3e0-3d8c-41f5-87ac-aad8a2be8ec8
16193412,Mexico,Nuevo León,Galeana,"Ejido El Tokio, Mpio. Galeana. Matorral Larrea.",1830,,meters,,,,,,,"Estrada C., A. Eduardo",,1745,# 1745,9 - September,6,1989,,,,R0000297.JPG,NYBG 3196561,Pomaria melanosticta,506bc5f9-f5c7-4016-b1eb-64e45ea1252d
16193413,Mexico,Baja California Sur,Los Cabos,"Carretera a Cabo Pulmo, en la interseccion de esta carretera con la carretera a Punta Colorada. Arbustos de 1-1.5m de alto, corolas amarrilas con bordes cafes. Matorral xerofilo.",100,,meters,23,32,58,109,31,54.8,"Panero, José L.","Bonnie Crozier, Socorro González, Juan Ismael Calzada",7392,Seven thousand three hundred and ninety two,3 - March,8,1999,,,,R0000296.JPG,NYBG 3196560,Caesalpinia pannosa,50a51f6a-2b27-488c-abe7-ca74b6d52e65
16193414,Madagascar,,Antsalova,Forêt d' Ambereny - Antsalova,,,,,,,,,,Service Forestier de Madagascar,,12210,12210.SF,8 - August,11,1954,,,,R0000279.JPG,NYBG 3196559,Bussea sakalava,52f993b1-581a-414b-99e1-233543c1d77a
16193415,Madagascar,Mahajanga,,"Near Ankarafantsika, Ampijoroa forest station, behind the forest station. Mainly decisuous, low forest, with dense shrub layer, on white sand.",90,,meters,16,19 S,,46,48 E,,"Du Puy, D. J.","B. P. Du Puy, G. Rafamantanantsoa & V. Ranjamababa",167,M167,3 - March,11,1989,,,,R0000278.JPG,NYBG 3196558,Bussea perrieri,5302cf27-b457-4cc1-a019-b6e4549a3d1c
16193416,Ghana,Ashanti,Sekyere,Ashanti; Sekyere. Bobiri Forest Reserve.,,,,6,38 N,,1,17 W,,"Kisseadoo, S.",,49,,10 - October,27,1988,,,,R0000277.JPG,NYBG 3196557,Bussea occidentalis,533dcc99-c366-44ce-add1-44f1c00bdc51
16193418,"Tanzania, United Republic of",Singida,Manyoni,"Near Manyoni, north of Kilimatinde.",,,,5,45 S,,34,55 E,,"Carnochan, F. G.",,321,,10 - October,Not Shown,1928,,,,R0000276.JPG,NYBG 3196556,Bussea massaiensis,53776a67-c3cd-4146-b914-3066adce737d
16193419,Ecuador,Napo,,Río Huambuno. Path leading from the finca of José Grefa to hills behind the finca.,500,,meters,00,58 S,,77,28 W,,"Klitgaard, B. Bang",,67049,,2 - February,24,1988,,,,R0000274.JPG,NYBG 3196555,Brownea ucayalina,53abf2e3-ffe2-4936-92b0-ec7e61a19782
16193420,Ecuador,Pichincha,,"Ca. 50 km Santa Domingo-Quevedo, Rio Palenque Field Station, ""Primary"" Moist Tropical Forest.",250,275,meters,,,,,,,"Priest, J.",,167,,9 - September,Not Shown,1985,12 - December,Not shown,1985,R0000272.JPG,NYBG 3196554,Browneopsis disepala,53e995a6-b837-4a84-a8ee-ee2091420717
